pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.21E+06,3.00E+02,9.93E-01,-9.93E-01,5.469773809,8.86E-01,6.46E-03,-1.15E-02,-8.37E-04
2.22E+06,2.99E+02,9.95E-01,-1.73E+00,8.823564146,1.29E+00,6.47E-03,-1.15E-02,-8.30E-04
2.22E+06,2.99E+02,9.92E-01,-1.40E+00,6.386212079,8.35E-01,6.48E-03,-1.15E-02,-8.48E-04
2.22E+06,2.99E+02,9.93E-01,-1.87E+00,12.9335855,1.29E+00,6.54E-03,-1.15E-02,-8.14E-04
2.22E+06,2.99E+02,9.88E-01,-1.58E+00,12.73506239,7.97E-01,6.53E-03,-1.15E-02,-7.96E-04
2.22E+06,3.00E+02,9.90E-01,-1.47E+00,12.7943219,6.40E-01,6.55E-03,-1.15E-02,-8.04E-04
2.22E+06,2.99E+02,9.79E-01,-2.02E+00,11.13086561,1.72E+00,6.53E-03,-1.15E-02,-8.45E-04
2.22E+06,2.99E+02,9.92E-01,-2.08E+00,12.32897449,1.70E+00,6.54E-03,-1.15E-02,-8.34E-04
2.22E+06,2.99E+02,9.80E-01,-1.99E+00,11.30287185,1.62E+00,6.54E-03,-1.15E-02,-8.50E-04
2.22E+06,2.99E+02,9.87E-01,-2.22E+00,11.52872403,1.91E+00,6.52E-03,-1.15E-02,-8.40E-04
2.22E+06,2.99E+02,9.94E-01,-2.18E+00,12.48127462,1.77E+00,6.53E-03,-1.15E-02,-8.29E-04
2.22E+06,2.99E+02,9.94E-01,-2.47E+00,12.41191902,2.01E+00,6.51E-03,-1.15E-02,-8.27E-04
2.22E+06,2.99E+02,9.90E-01,-2.36E+00,11.44869277,1.69E+00,6.51E-03,-1.15E-02,-8.31E-04
2.22E+06,2.99E+02,9.81E-01,-2.05E+00,8.071410284,1.27E+00,6.50E-03,-1.15E-02,-8.49E-04
2.22E+06,2.99E+02,9.78E-01,-2.33E+00,9.981552789,1.70E+00,6.51E-03,-1.15E-02,-8.44E-04
2.22E+06,2.99E+02,9.93E-01,-2.14E+00,12.84151231,1.73E+00,6.53E-03,-1.15E-02,-8.15E-04
2.22E+06,2.99E+02,9.90E-01,-2.04E+00,12.82146655,1.48E+00,6.52E-03,-1.15E-02,-7.99E-04
2.21E+06,2.99E+02,9.94E-01,-2.30E+00,12.75755376,1.89E+00,6.51E-03,-1.15E-02,-8.13E-04
2.22E+06,2.99E+02,9.72E-01,-1.86E+00,7.522521395,1.62E+00,6.51E-03,-1.15E-02,-8.57E-04
2.22E+06,2.99E+02,9.83E-01,-1.81E+00,6.369497925,6.63E-01,6.50E-03,-1.15E-02,-8.62E-04
2.22E+06,2.99E+02,9.79E-01,-1.69E+00,6.983222116,1.17E+00,6.52E-03,-1.15E-02,-8.72E-04
2.22E+06,2.99E+02,9.92E-01,-1.36E+00,12.87056254,7.85E-01,6.56E-03,-1.15E-02,-8.11E-04
2.22E+06,2.99E+02,9.94E-01,-1.89E+00,12.87918661,1.39E+00,6.55E-03,-1.15E-02,-8.21E-04
2.22E+06,2.99E+02,9.93E-01,-1.32E+00,12.89599938,7.63E-01,6.56E-03,-1.15E-02,-8.24E-04
2.22E+06,2.99E+02,9.69E-01,-1.75E+00,9.414962547,1.43E+00,6.53E-03,-1.15E-02,-8.57E-04
2.22E+06,2.99E+02,9.70E-01,-2.00E+00,6.821473025,1.50E+00,6.53E-03,-1.15E-02,-8.72E-04
2.22E+06,2.99E+02,9.68E-01,-1.40E+00,10.07748293,1.06E+00,6.54E-03,-1.15E-02,-8.61E-04
2.22E+06,2.99E+02,9.87E-01,-1.71E+00,11.91375526,1.54E+00,6.55E-03,-1.15E-02,-8.48E-04
2.22E+06,2.99E+02,9.94E-01,-1.56E+00,12.8189728,1.20E+00,6.56E-03,-1.15E-02,-8.36E-04
2.22E+06,2.99E+02,9.94E-01,-1.97E+00,12.73428033,1.56E+00,6.55E-03,-1.15E-02,-8.33E-04
2.22E+06,2.99E+02,9.91E-01,-1.26E+00,12.32722342,1.41E+00,6.57E-03,-1.15E-02,-8.55E-04
2.22E+06,2.99E+02,9.94E-01,-1.42E+00,12.78172982,1.28E+00,6.57E-03,-1.15E-02,-8.41E-04
2.22E+06,2.99E+02,9.84E-01,-1.48E+00,11.73326655,1.51E+00,6.56E-03,-1.15E-02,-8.52E-04
2.22E+06,2.99E+02,9.95E-01,-5.10E-01,12.82566873,-1.26E-02,6.60E-03,-1.15E-02,-8.30E-04
