pressure,temperature,mass-fraction-water,density,x-velocity,y-velocity,z-velocity,x,y,z,Cell Type
2.86E+06,3.00E+02,8.53E-01,1.90E+02,-1.53E+00,10.8,3.46E-01,7.01E-03,-1.15E-02,5.64E-04,5
2.86E+06,3.00E+02,6.83E-01,9.78E+01,-2.11E+00,10.6,-4.52E-01,7.02E-03,-1.15E-02,5.49E-04,5
2.86E+06,3.00E+02,1.00E+00,9.86E+02,-1.06E+00,11.2,8.44E-01,6.88E-03,-1.15E-02,5.84E-04,5
2.86E+06,3.00E+02,1.00E+00,9.90E+02,-1.09E+00,11.2,8.41E-01,6.87E-03,-1.15E-02,5.72E-04,5
2.86E+06,3.00E+02,1.00E+00,9.94E+02,-1.09E+00,11.2,9.07E-01,6.87E-03,-1.15E-02,5.51E-04,5
2.86E+06,3.00E+02,1.00E+00,9.96E+02,-1.13E+00,11.2,8.91E-01,6.85E-03,-1.15E-02,5.41E-04,5
2.86E+06,3.00E+02,5.94E-01,7.81E+01,-2.30E+00,11.7,-1.18E+00,7.02E-03,-1.15E-02,4.77E-04,5
2.86E+06,3.00E+02,5.65E-01,7.32E+01,-2.44E+00,12.8,-1.33E+00,7.03E-03,-1.15E-02,4.67E-04,5
2.86E+06,3.00E+02,5.85E-01,7.64E+01,-2.48E+00,13,-1.27E+00,7.06E-03,-1.15E-02,4.75E-04,5
2.86E+06,3.00E+02,1.00E+00,9.98E+02,-1.19E+00,11.2,9.87E-01,6.86E-03,-1.15E-02,5.07E-04,5
2.86E+06,3.00E+02,1.00E+00,9.98E+02,-1.17E+00,11.2,9.68E-01,6.85E-03,-1.15E-02,5.18E-04,5
2.86E+06,3.00E+02,5.94E-01,7.80E+01,-2.56E+00,11.4,-1.17E+00,7.05E-03,-1.15E-02,5.11E-04,5
2.86E+06,3.00E+02,6.12E-01,8.13E+01,-2.49E+00,11,-9.43E-01,7.03E-03,-1.15E-02,5.11E-04,5
2.86E+06,3.00E+02,5.53E-01,7.13E+01,-2.49E+00,14.7,-1.32E+00,7.02E-03,-1.15E-02,4.29E-04,5
2.86E+06,3.00E+02,5.94E-01,7.80E+01,-2.53E+00,13.5,-1.30E+00,7.00E-03,-1.15E-02,4.33E-04,5
2.86E+06,3.00E+02,6.87E-01,9.89E+01,-2.41E+00,11.2,-1.12E+00,6.99E-03,-1.15E-02,4.54E-04,5
2.86E+06,3.00E+02,6.97E-01,1.02E+02,-2.52E+00,11.1,-7.85E-01,6.97E-03,-1.15E-02,4.52E-04,5
2.86E+06,3.00E+02,6.37E-01,8.65E+01,-2.38E+00,12.4,-1.13E+00,6.96E-03,-1.15E-02,4.16E-04,5
2.86E+06,3.00E+02,1.00E+00,9.89E+02,-1.12E+00,11.1,8.96E-01,6.97E-03,-1.15E-02,5.70E-04,5
2.85E+06,3.00E+02,1.00E+00,9.97E+02,-1.19E+00,11.2,9.16E-01,6.83E-03,-1.15E-02,5.15E-04,5
2.85E+06,3.00E+02,1.00E+00,9.94E+02,-1.23E+00,11.2,9.42E-01,6.79E-03,-1.15E-02,5.06E-04,5
2.86E+06,3.00E+02,7.09E-01,1.06E+02,-2.18E+00,10.6,-6.50E-01,7.02E-03,-1.15E-02,5.29E-04,5
2.85E+06,3.00E+02,1.00E+00,9.90E+02,-1.25E+00,11.2,8.40E-01,6.74E-03,-1.15E-02,5.00E-04,5
2.86E+06,3.00E+02,9.32E-01,3.34E+02,-1.41E+00,10.9,6.29E-01,6.98E-03,-1.15E-02,5.55E-04,5
2.86E+06,3.00E+02,7.41E-01,1.17E+02,-2.13E+00,11.1,-4.81E-02,6.95E-03,-1.15E-02,4.85E-04,5
2.86E+06,3.00E+02,5.67E-01,7.36E+01,-2.47E+00,14.3,-1.40E+00,7.03E-03,-1.15E-02,4.45E-04,5
2.86E+06,3.00E+02,1.00E+00,9.92E+02,-1.05E+00,11.2,9.88E-01,6.94E-03,-1.15E-02,5.87E-04,5
2.86E+06,3.00E+02,1.00E+00,9.95E+02,-1.08E+00,11.1,9.96E-01,6.89E-03,-1.15E-02,5.41E-04,5
2.86E+06,3.00E+02,1.00E+00,9.97E+02,-1.19E+00,11.1,1.04E+00,6.89E-03,-1.15E-02,5.20E-04,5
2.86E+06,3.00E+02,6.77E-01,9.60E+01,-2.32E+00,10.6,-9.18E-01,7.00E-03,-1.15E-02,5.04E-04,5
2.86E+06,3.00E+02,6.77E-01,9.62E+01,-2.15E+00,10.7,-4.63E-01,7.00E-03,-1.15E-02,5.22E-04,5
