pressure,temperature,mass-fraction-water,x-velocity,y-velocity,z-velocity,x,y,z
2.37E+06,300.19,0.99996,-0.015348,9.8819,0.22228,0.00642193,-0.0115,0.00077418
2.37E+06,300.2,0.99993,0.27074,7.7479,0.16093,0.00643167,-0.0115,0.00080253
2.37E+06,300.2,1,0.53174,7.0105,0.32951,0.00641221,-0.0115,0.00080902
2.37E+06,300.19,0.9999,0.0078856,9.2044,0.12572,0.00643653,-0.0115,0.00078511
2.37E+06,300.19,0.99984,0.034228,8.4962,0.023476,0.00645113,-0.0115,0.00079605
2.37E+06,300.2,0.99998,0.2444,8.456,0.26318,0.00641707,-0.0115,0.0007916
2.37E+06,300.2,0.99999,0.92944,7.1745,0.18551,0.0064491,-0.0115,0.00083457
2.37E+06,300.2,0.99992,0.48629,7.8504,0.092541,0.00645012,-0.0115,0.00081531
2.37E+06,300.2,0.99999,0.74729,7.113,0.26112,0.00643066,-0.0115,0.0008218
2.37E+06,300.18,1,-0.21915,15.051,-0.046372,0.00643333,-0.0115,0.00057641
2.37E+06,300.18,1,-0.21517,15.055,-0.057446,0.0064429,-0.0115,0.00059331
2.37E+06,300.18,1,-0.21285,15.063,-0.071116,0.00645246,-0.0115,0.00061021
2.37E+06,300.18,1,-0.21378,15.057,-0.056237,0.00642564,-0.0115,0.00059404
2.37E+06,300.18,1,-0.20435,15.061,-0.067412,0.00641794,-0.0115,0.00061168
2.37E+06,300.18,1,-0.2098,15.061,-0.067311,0.0064352,-0.0115,0.00061095
2.37E+06,300.18,1,-0.22289,15.052,-0.039543,0.00645035,-0.0115,0.0005751
2.37E+06,300.18,1,-0.22057,15.06,-0.053213,0.00645992,-0.0115,0.000592
2.37E+06,300.18,1,-0.22571,15.056,-0.034018,0.00646737,-0.0115,0.00057379
2.37E+06,300.17,1,-0.24308,15.068,0.0086407,0.00652128,-0.0115,0.00059755
2.37E+06,300.17,1,-0.20019,15.076,-0.039584,0.00650415,-0.0115,0.00060189
2.37E+06,300.18,1,-0.20412,15.07,-0.060804,0.00648702,-0.0115,0.00060622
2.37E+06,300.17,1,-0.16033,15.11,-0.090688,0.00651363,-0.0115,0.00063267
2.37E+06,300.17,1,-0.18129,15.092,-0.077165,0.00650033,-0.0115,0.00061945
2.37E+06,300.17,1,-0.17924,15.093,-0.053107,0.00651746,-0.0115,0.00061511
2.37E+06,300.18,1,-0.25819,15.055,0.0078387,0.00649767,-0.0115,0.00057413
2.37E+06,300.18,1,-0.21511,15.066,-0.038125,0.00649234,-0.0115,0.00059017
2.37E+06,300.18,1,-0.21118,15.071,-0.016905,0.00650947,-0.0115,0.00058584
2.37E+06,300.18,1,-0.2251,15.059,-0.024246,0.00648252,-0.0115,0.00057396
2.37E+06,300.18,1,-0.215,15.065,-0.048683,0.0064772,-0.0115,0.00059
2.37E+06,300.09,0.99289,0.23133,15.56,-0.035213,0.00664014,-0.0115,0.00067678
2.37E+06,300.12,0.99991,0.034017,15.388,0.06218,0.00660816,-0.0115,0.00065525
2.37E+06,300.1,0.9963,0.14219,15.47,0.010507,0.00662415,-0.0115,0.00066602
2.37E+06,300.11,0.99156,0.079498,15.463,0.12128,0.00662494,-0.0115,0.00064824
2.37E+06,300.11,0.9864,0.046009,15.509,0.26193,0.00664173,-0.0115,0.00064123
2.37E+06,300.1,0.98815,0.16865,15.553,0.075564,0.00664094,-0.0115,0.00065901
2.37E+06,300.1,0.9993,0.07856,15.323,-0.15855,0.00661103,-0.0115,0.00069332
2.37E+06,300.11,0.99963,0.055573,15.36,-0.044527,0.00660959,-0.0115,0.00067428
2.37E+06,300.1,0.99602,0.16374,15.442,-0.096201,0.00662559,-0.0115,0.00068505
2.37E+06,300.12,0.99998,-0.06078,15.346,-0.12261,0.00657597,-0.0115,0.00067287
2.37E+06,300.12,0.99993,-0.0068364,15.368,-0.02688,0.00659207,-0.0115,0.00066406
2.37E+06,300.11,0.9996,0.016151,15.331,-0.1409,0.0065935,-0.0115,0.0006831
2.37E+06,300.18,0.99999,-0.12957,14.286,-0.1294,0.00642601,-0.0115,0.00071242
2.37E+06,300.18,1,-0.12436,14.168,-0.049607,0.00640802,-0.0115,0.00071735
2.37E+06,300.18,0.99999,-0.15307,14.435,-0.20944,0.00644399,-0.0115,0.00070749
2.37E+06,300.18,1,-0.1444,14.587,-0.069658,0.00641334,-0.0115,0.00069926
2.37E+06,300.18,1,-0.17846,15.025,-0.096326,0.00641867,-0.0115,0.00068117
2.37E+06,300.18,1,-0.1679,14.735,-0.1497,0.00643133,-0.0115,0.00069433
2.37E+06,300.18,0.99995,-0.16423,13.348,-0.12605,0.00643448,-0.0115,0.00074141
2.37E+06,300.18,0.99998,-0.14517,13.788,-0.086053,0.00642125,-0.0115,0.00072938
